cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,tile_k,tile_m,tile_n,pack,splitK,us,kernelName,err_ratio,tflops,bw
256,464,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,13,64,128,64,1,1,10.7995,hgemm_bf16_128x64x64_S2TN_BP,0.0,315.36,1339.61
256,472,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,11.219,hgemm_bf16_128x128x64_S2TN_BP,0.0,308.81,1300.47
256,472,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,30.0595,hgemm_bf16_128x128x64_S2TN_BP,0.0,461.02,1266.16
256,480,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,13,64,128,64,1,1,10.4795,hgemm_bf16_128x64x64_S2TN_BP,0.0,336.2,1403.96
256,480,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,29.7595,hgemm_bf16_128x128x64_S2TN_BP,0.0,473.56,1283.88
256,488,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,13.9795,hgemm_bf16_32x64x128_S2TN_BP,0.0,329.44,996.79
256,488,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,10.8195,hgemm_bf16_96x64x64_S2TN_BP,0.0,331.06,1371.2
256,488,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,30.1595,hgemm_bf16_128x128x64_S2TN_BP,0.0,475.07,1271.74
256,496,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,14.259,hgemm_bf16_32x64x128_S2TN_BP,0.0,328.27,982.42
256,496,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,1,64,32,64,1,1,13.059,hgemm_bf16_32x64x64_S2TN_BP,0.0,278.79,1145.46
256,496,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,30.019,hgemm_bf16_128x128x64_S2TN_BP,0.0,485.11,1282.6
256,504,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,14.3995,hgemm_bf16_32x64x128_S2TN_BP,0.0,330.31,977.95
256,504,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,13,64,128,64,1,1,11.8755,hgemm_bf16_128x64x64_S2TN_BP,0.0,311.51,1269.97
256,504,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,30.019,hgemm_bf16_128x128x64_S2TN_BP,0.0,492.94,1287.51
256,512,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,31,128,128,64,1,1,12.1486,hgemm_bf16_128x64x128_S2TN_BP,0.0,309.34,1251.53
256,512,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,31.539,hgemm_bf16_96x64x64_S2TN_BP,0.0,476.63,1230.14
